wid,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
1,abandon,əˈbændən,NULL,NULL,NULL,NULL,NULL,"['v. 抛弃，遗弃；（因危险）离开，舍弃；中止，不再有；放弃（信念、信仰或看法）；陷入，沉湎于（某种情感）', 'n. 放任，放纵']"
2,abatement ,əˈbeɪtmənt,NULL,NULL,NULL,NULL,NULL,['n. 减少；消除；减轻']
3,abdomen,ˈæbdəmən,abdomens,NULL,NULL,NULL,NULL,['n. （人体）腹，腹部；（昆虫）腹部']
4,abide,əˈbaɪd,NULL,abides,abiding,abided或abode,abided或abode,['v. 遵守（abide by）；容忍，忍受；<旧>居住，逗留；（感情，记忆）始终不渝，持续']
5,abnormal,æbˈnɔːm(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 反常的，异常的，变态的；不规则的']
6,aboard,əˈbɔːd,NULL,NULL,NULL,NULL,NULL,"['adv. 在（船、飞机、火车等）上；上（船、飞机、火车等）；骑在（马）上，跨上（马）；（棒球）在垒上；加入，加盟', 'prep. 在（船、飞机、火车等）上；上（船、飞机、火车等）；骑在（马）上']"
7,abolish,əˈbɒlɪʃ,NULL,abolishes,abolishing,abolished,abolished,['v. 废除，废止，取消']
8,abound,əˈbaʊnd,NULL,abounds,abounding,abounded,abounded,['v. 大量存在，有许多；富于，盛产（abound with/in sth.）']
9,above,əˈbʌv,NULL,NULL,NULL,NULL,NULL,"['prep. （数量或度量）在……以上，超过；在（或向）……上面；（级别或地位上）高于； （重要性、质量）超过，胜过；（因善良或诚实正直而）不至于，不屑于（做某事）；（声音）比……更响亮，盖过；不受……影响，免于；（重要性、质量）超过，胜过', 'adv. （级别或地位上）高于；在（或向）上面，在（或向）较高处；高于，超出（特定数量、比率或标准）；上文，前文', 'adj. 前文述及的，上述的', 'n. 上文提及之事，前文所提之事（the above）']"
10,abroad,əˈbrɔːd,NULL,NULL,NULL,NULL,NULL,"['adv. 在国外，到国外；<旧>在室外，到室外；<正式> 广为流传，广为人知；行动自由；<古> 未击中目标，出错', 'n. 外国']"
11,abrupt,əˈbrʌpt,NULL,NULL,NULL,NULL,NULL,['adj. 突然的，意外的；粗鲁的，唐突的，（言语）生硬的；险峻的，陡峭的；（讲话或写作风格）不流畅的，不连贯的']
12,absence,ˈæbsəns,absences,NULL,NULL,NULL,NULL,['n. 缺席，缺勤，不在；缺乏，没有；缺席期间，休假期间；不注意']
13,absent,ˈæbsənt,NULL,NULL,NULL,NULL,NULL,"['adj. 缺勤的，缺席的；不存在的，缺乏的；心不在焉的，出神的；不与子女一起住的', 'prep. <美，正式>缺乏，没有', 'v. 缺席，离开']"
